,url_ending_index,from_reputable_source_index,today_index,grammar_index,quotation_index,past_tense_index,present_tense_index,should_index,opinion_index,all_caps_index,from_satire_source_index,exclamation_index,apa_index,name_source_index,interjection_index,you_index,dot_gov_ending_index,from_unreputable_source_index,label
5427,0.0,0.0,0.0,0.8701886452690739,0.0,0.244067196220707,0.3853692571905901,0.0,0.0,0.0,0.0,0.0,0.0,0.1862618076421185,0.0,0.0,0.0,0.0,2
5428,0.0,0.0,0.0,0.9261854009581448,0.0,0.0,0.3588968428712812,0.0,0.0,0.0,0.0,0.0,0.0,0.11564453825852394,0.0,0.0,0.0,0.0,2
5429,0.0,0.0,0.0,0.6615037457498402,0.0,0.5772232685135644,0.4557025804054455,0.0,0.0,0.0,0.0,0.0,0.0,0.14683749813064356,0.0,0.0,0.0,0.0,2
5430,0.0,0.0,0.0,0.9115576893381496,0.0,0.0,0.3390994604337917,0.0,0.0,0.006728163897495871,0.0,0.007266417009295535,0.01913026983338952,0.2315385469258245,0.0,0.0,0.0,0.0,2
5431,0.0,0.0,0.0,0.8706301323458795,0.0,0.04883820456683079,0.3341561365098948,0.0,0.0,0.014280176773927131,0.0,0.023133886373761944,0.0194283169357378,0.3561476087417426,0.0,0.0,0.0,0.0,2
5432,0.0,0.0,0.0,0.939555235257424,0.0,0.0,0.3002702298245376,0.0,0.0,0.0,0.0,0.0,0.0044307390600436015,0.16448135922610782,0.0,0.0,0.0,0.0,2
5433,0.0,0.0,0.0,0.9364573969144208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35078133326086025,0.0,0.0,0.0,0.0,2
5434,0.0,0.0,0.0,0.909099984377186,0.0,0.09915923903669686,0.2935635366217997,0.0,0.0,0.010872723578585179,0.0,0.0,0.02040193863854263,0.2774719057254937,0.0,0.0,0.0,0.0,2
5435,0.0,0.0,0.0,0.9318625294883628,0.0,0.03646957009093989,0.3359039350481308,0.0,0.0,0.007997712739241209,0.0,0.0,0.02317808469015764,0.12988285488527726,0.0,0.0,0.0,0.0,2
5436,0.0,0.0,0.0,0.924385839177664,0.006921729713649176,0.044714373950173726,0.3156308749424025,0.0,0.0,0.0074985405231199455,0.0,0.0,0.054339986997186576,0.20206836277379825,0.0,0.0,0.0,0.0,2
5437,0.0,0.0,0.0,0.9110855873253106,0.0,0.02267128901286892,0.3794457845311752,0.0,0.0,0.005966128687597094,0.0,0.0,0.05704683048293476,0.1487952494686715,0.0,0.0,0.0,0.0,2
5438,0.0,0.0,0.0,0.8898804833045013,0.03295853641868525,0.062621219195502,0.2274139012889282,0.0,0.0,0.0,0.0,0.0,0.017528903127135145,0.3886910061643613,0.0,0.0,0.0,0.0,2
5439,0.0,0.0,0.0,0.9307781241661256,0.09016913077859344,0.06852853939173104,0.18033826155718688,0.0,0.0,0.005009396154366304,0.0,0.008115221770073408,0.0196419380422159,0.29635587649231043,0.0,0.0,0.0,0.0,2
5440,0.0,0.0,0.0,0.8627638188623222,0.2875879396207741,0.054641708527947086,0.08627638188623224,0.0,0.0,0.0,0.0,0.0,0.0032971865689005947,0.4031024287017851,0.0,0.0,0.0,0.0,2
5441,0.0,0.0,0.0,0.8692727111004722,0.0,0.0,0.3849636292016377,0.0,0.0,0.0,0.0,0.0,0.0,0.31010959019020823,0.0,0.0,0.0,0.0,2
5442,0.0,0.0,0.0,0.7391994713378683,0.2727998048984991,0.10366392586142968,0.4091997073477487,0.0,0.0,0.0,0.0,0.0,0.0,0.4483010127165336,0.0,0.0,0.0,0.0,2
5443,0.0,0.0,0.0,0.8511618644919624,0.21988348166042374,0.08355572303096102,0.26386017799250844,0.0,0.0,0.00916181173585099,0.0,0.0,0.003466316032544896,0.3879111088959308,0.0,0.0,0.0,0.0,2
5444,0.0,0.0,0.0,0.9002848880443509,0.2067320854027769,0.07855819245305525,0.06201962562083306,0.0,0.0,0.0,0.0,0.0,0.006978853838437692,0.36970587939529936,0.0,0.0,0.0,0.0,2
5445,0.0,0.0,0.0,0.8199635796234502,0.15690661091559854,0.17887353644378234,0.18828793309871825,0.0,0.0,0.0,0.0,0.0,0.0036478288524964,0.4853644497655849,0.0,0.0,0.0,0.0,2
5446,0.0,0.0,0.0,0.8403761751488595,0.15506941327151574,0.01964212568105868,0.1550694132715158,0.0,0.0,0.017229934807946202,0.0,0.013956247194436418,0.009877032692453236,0.4946714283361354,0.0,0.0,0.0,0.0,2
5447,0.0,0.0,0.0,0.8937935351752203,0.09305658972437224,0.061882632166707564,0.20937732687983754,0.0,0.0,0.007754715810364356,0.0,0.0,0.017336976111069352,0.380058621865957,0.0,0.0,0.0,0.0,2
5448,0.0,0.0,0.0,0.88491392547767,0.2126537340295176,0.0,0.12759224041771058,0.0,0.0,0.05316343350737943,0.0,0.0,0.007178756626474162,0.3905740248342141,0.0,0.0,0.0,0.0,2
5449,0.0,0.0,0.0,0.8817262152611222,0.0,0.0,0.13666756336547392,0.0,0.0,0.009490803011491248,0.0,0.0,0.006673787595341615,0.4513825912265237,0.0,0.0,0.0,0.0,2
5450,0.0,0.0,0.0,0.8445590457677904,0.0,0.0,0.23801209471637735,0.0,0.0,0.01652861768863732,0.0,0.0,0.00631666918037095,0.4793299129704822,0.0,0.0,0.0,0.0,2
5451,0.0,0.0,0.0,0.9148959886360868,0.0,0.047899887760591606,0.18907850431812467,0.0,0.0,0.0,0.0,0.0,0.007225930101329605,0.353366715847873,0.0,0.0,0.0,0.0,2
